Hz,167NE,167NW,167SW,167M,167SE
0.0,0.0,0.0,0.0,0.0,0.0
0.5,5.303649e-05,3.120985e-05,2.35449e-05,2.283551e-05,1.970233e-05
1.0,4.831514e-07,5.036783e-07,4.002472e-07,5.027495e-07,4.735251e-07
1.5,2.230757e-07,2.09466e-07,2.281093e-07,2.573832e-07,2.390336e-07
2.0,1.523905e-07,1.496008e-07,1.63849e-07,1.83656e-07,1.560415e-07
2.5,1.005725e-07,1.211811e-07,1.286242e-07,1.288849e-07,1.05047e-07
3.0,7.523192e-08,9.533169e-08,7.84738e-08,8.126436e-08,6.913723e-08
3.5,7.111151e-08,6.520521e-08,5.73974e-08,6.423844e-08,7.028256e-08
4.0,5.447141e-08,5.723457e-08,5.248583e-08,5.227534e-08,6.379629e-08
4.5,4.229487e-08,4.673491e-08,4.774946e-08,4.43423e-08,5.108331e-08
5.0,4.173799e-08,4.319853e-08,4.014434e-08,3.864868e-08,3.912924e-08
5.5,3.100198e-08,3.663513e-08,3.407271e-08,3.806283e-08,3.735091e-08
6.0,2.746594e-08,2.580275e-08,3.166348e-08,3.292254e-08,3.348386e-08
6.5,2.677878e-08,2.224123e-08,2.673629e-08,2.587141e-08,2.637825e-08
7.0,2.386986e-08,2.212932e-08,2.28856e-08,2.258411e-08,2.499647e-08
7.5,1.981046e-08,2.161438e-08,2.150277e-08,2.207755e-08,2.414138e-08
8.0,1.548023e-08,2.042842e-08,1.849033e-08,1.798848e-08,1.72515e-08
8.5,1.715951e-08,1.677681e-08,1.609782e-08,1.704375e-08,1.428081e-08
9.0,1.506279e-08,1.507082e-08,1.569801e-08,1.440698e-08,1.337262e-08
9.5,1.232182e-08,1.459758e-08,1.718083e-08,1.256613e-08,1.446729e-08
10.0,1.15401e-08,1.439711e-08,1.230603e-08,1.39408e-08,1.359194e-08
10.5,1.173811e-08,1.184529e-08,1.070559e-08,1.255524e-08,1.213637e-08
11.0,1.253823e-08,1.110266e-08,1.241003e-08,1.352076e-08,1.05558e-08
11.5,1.266777e-08,1.157291e-08,1.128781e-08,1.422206e-08,9.744024e-09
12.0,1.064212e-08,9.706254e-09,9.46784e-09,1.164541e-08,1.182895e-08
12.5,8.875556e-09,8.995634e-09,9.683124e-09,9.598483e-09,1.14657e-08
13.0,8.769646e-09,8.929756e-09,9.514702e-09,9.444854e-09,1.078327e-08
13.5,9.167148e-09,9.140951e-09,9.308994e-09,8.7274e-09,9.318126e-09
14.0,8.701225e-09,9.098538e-09,8.493874e-09,7.296172e-09,8.944699e-09
14.5,7.893589e-09,7.228892e-09,7.532834e-09,7.746014e-09,8.132377e-09
15.0,6.296777e-09,6.76581e-09,7.029186e-09,7.622265e-09,9.04017e-09
15.5,6.354175e-09,6.871492e-09,6.97397e-09,7.756579e-09,7.291666e-09
16.0,7.007644e-09,6.623223e-09,7.168971e-09,5.71744e-09,6.766451e-09
16.5,6.556628e-09,6.199201e-09,6.246593e-09,5.248073e-09,6.151379e-09
17.0,7.021198e-09,5.961673e-09,6.848583e-09,5.485687e-09,5.854467e-09
17.5,6.748202e-09,5.671415e-09,7.136436e-09,5.791974e-09,5.546823e-09
18.0,5.131447e-09,5.622554e-09,5.967495e-09,5.858504e-09,5.761617e-09
18.5,5.414577e-09,5.841331e-09,5.251353e-09,4.786874e-09,5.951994e-09
19.0,5.517296e-09,5.964128e-09,4.607466e-09,4.86853e-09,5.628536e-09
19.5,5.870272e-09,5.50942e-09,3.95909e-09,4.68573e-09,5.296644e-09
20.0,4.726513e-09,4.951568e-09,4.129605e-09,3.968317e-09,5.134583e-09
20.5,4.150672e-09,4.552791e-09,4.888159e-09,4.234746e-09,4.967097e-09
