Hz,175n,175m,175S,175Son
44.0,1.659285e-09,1.576098e-09,1.301581e-09,1.721639e-09
44.5,1.390486e-09,1.495654e-09,1.329422e-09,1.745598e-09
45.0,1.375686e-09,1.467669e-09,1.429729e-09,1.653547e-09
45.5,1.395746e-09,1.40404e-09,1.450727e-09,1.613983e-09
46.0,1.296218e-09,1.577548e-09,1.470578e-09,1.453189e-09
46.5,1.349489e-09,1.740988e-09,1.469809e-09,1.391933e-09
47.0,1.631138e-09,1.6063e-09,1.534618e-09,1.413154e-09
47.5,1.449884e-09,1.460722e-09,1.280241e-09,1.496333e-09
48.0,1.417747e-09,1.492594e-09,1.242192e-09,1.508132e-09
48.5,1.527436e-09,1.231944e-09,1.413861e-09,1.344611e-09
49.0,1.183592e-09,1.205187e-09,1.275177e-09,1.313716e-09
49.5,1.218425e-09,1.404876e-09,1.308555e-09,1.27201e-09
50.0,1.300676e-09,1.513341e-09,1.327637e-09,1.263573e-09
50.5,1.180694e-09,1.406644e-09,1.318571e-09,1.340699e-09
51.0,1.285392e-09,1.239174e-09,1.304217e-09,1.236723e-09
51.5,1.270152e-09,1.29898e-09,1.375968e-09,1.303419e-09
52.0,1.153869e-09,1.1446e-09,1.417418e-09,1.200824e-09
52.5,1.230414e-09,1.244569e-09,1.215267e-09,1.112071e-09
53.0,1.180515e-09,1.275497e-09,1.146667e-09,1.087029e-09
53.5,1.096699e-09,1.216419e-09,1.114909e-09,1.182577e-09
54.0,1.17235e-09,1.080329e-09,1.022422e-09,1.191182e-09
54.5,1.101867e-09,1.037173e-09,1.019467e-09,1.194165e-09
55.0,1.099644e-09,9.900601e-10,1.150777e-09,1.136824e-09
55.5,1.0511e-09,9.987969e-10,1.226781e-09,1.012227e-09
56.0,9.248829e-10,1.119961e-09,1.253716e-09,1.011277e-09
56.5,9.961726e-10,1.078415e-09,1.151037e-09,1.184234e-09
57.0,9.908077e-10,1.007328e-09,1.250888e-09,1.099572e-09
57.5,8.920359e-10,1.028254e-09,1.111087e-09,9.379471e-10
58.0,9.092844e-10,9.874432e-10,9.408797e-10,1.064879e-09
58.5,1.018582e-09,9.840442e-10,8.944476e-10,1.116421e-09
59.0,1.067326e-09,8.60247e-10,1.039016e-09,1.098329e-09
59.5,1.05817e-09,9.568478e-10,1.040457e-09,9.516298e-10
60.0,1.061453e-09,1.10998e-09,9.736052e-10,1.014734e-09
60.5,1.041623e-09,1.023977e-09,9.665654e-10,1.11074e-09
