Hz,173N,173m,73mFOn,173S,173nfo
36.0,2.214206e-09,1.990565e-09,1.89024e-09,2.042898e-09,1.999049e-09
36.5,2.020532e-09,1.889101e-09,1.813767e-09,2.04865e-09,2.29739e-09
37.0,1.960231e-09,1.991751e-09,2.002887e-09,1.816426e-09,2.091844e-09
37.5,2.163175e-09,2.106458e-09,2.090034e-09,1.808811e-09,1.918068e-09
38.0,1.875869e-09,1.972809e-09,2.197093e-09,1.835043e-09,2.184826e-09
38.5,1.68922e-09,1.822408e-09,1.936545e-09,1.877047e-09,2.053237e-09
39.0,1.874089e-09,1.769209e-09,1.815445e-09,1.986399e-09,1.986139e-09
39.5,1.812775e-09,1.83612e-09,1.817179e-09,1.754219e-09,1.784823e-09
40.0,1.684477e-09,2.038417e-09,1.790151e-09,1.633671e-09,1.985571e-09
40.5,1.593636e-09,1.894126e-09,1.690797e-09,1.719825e-09,1.9828e-09
41.0,1.44192e-09,1.943466e-09,1.579349e-09,1.655364e-09,2.00576e-09
41.5,1.470479e-09,1.999561e-09,1.697006e-09,1.663765e-09,1.84085e-09
42.0,1.613787e-09,1.73459e-09,1.640783e-09,1.866063e-09,1.555369e-09
42.5,1.634795e-09,1.633387e-09,1.726332e-09,1.772818e-09,1.385192e-09
43.0,1.504599e-09,1.766562e-09,1.823832e-09,1.495169e-09,1.635493e-09
43.5,1.597348e-09,1.645655e-09,1.917119e-09,1.682076e-09,1.582016e-09
44.0,1.840357e-09,1.650748e-09,1.866688e-09,1.845764e-09,1.438882e-09
44.5,1.563294e-09,1.678937e-09,1.658888e-09,1.584356e-09,1.343373e-09
45.0,1.24621e-09,1.606113e-09,1.620865e-09,1.434093e-09,1.447619e-09
45.5,1.313135e-09,1.426479e-09,1.700594e-09,1.583928e-09,1.753596e-09
46.0,1.257062e-09,1.524172e-09,1.516936e-09,1.391946e-09,1.487452e-09
46.5,1.35138e-09,1.404188e-09,1.419667e-09,1.453101e-09,1.352502e-09
47.0,1.415773e-09,1.165804e-09,1.458451e-09,1.329598e-09,1.474839e-09
47.5,1.419059e-09,1.255693e-09,1.43551e-09,1.142461e-09,1.463492e-09
48.0,1.462275e-09,1.607226e-09,1.299424e-09,1.387784e-09,1.363862e-09
48.5,1.042224e-09,1.630053e-09,1.417363e-09,1.41526e-09,1.23285e-09
49.0,1.058579e-09,1.320018e-09,1.392143e-09,1.409076e-09,1.467629e-09
49.5,1.305351e-09,1.305504e-09,1.422765e-09,1.296799e-09,1.359227e-09
50.0,1.465655e-09,1.538977e-09,1.378032e-09,1.47599e-09,1.254221e-09
50.5,1.343753e-09,1.297568e-09,1.341702e-09,1.483754e-09,1.233921e-09
51.0,1.263867e-09,9.711146e-10,1.502764e-09,1.389834e-09,1.208254e-09
51.5,1.334062e-09,1.120927e-09,1.49653e-09,1.29026e-09,1.065379e-09
52.0,1.365759e-09,1.354789e-09,1.313672e-09,1.24085e-09,1.07973e-09
52.5,1.289163e-09,1.307182e-09,1.387033e-09,1.301515e-09,1.131023e-09
53.0,1.166091e-09,1.3646e-09,1.349458e-09,1.153244e-09,9.765336e-10
53.5,1.250146e-09,1.295688e-09,1.191186e-09,9.576353e-10,1.196173e-09
54.0,1.27664e-09,1.315195e-09,1.026205e-09,1.056609e-09,1.206619e-09
54.5,1.180252e-09,1.206598e-09,1.016011e-09,1.267974e-09,1.171807e-09
55.0,1.098542e-09,1.099057e-09,1.058363e-09,1.131828e-09,1.265833e-09
55.5,1.181328e-09,1.172936e-09,1.129636e-09,1.218353e-09,1.183129e-09
56.0,1.282139e-09,1.363694e-09,1.285344e-09,1.16152e-09,1.030801e-09
56.5,1.216954e-09,1.272496e-09,1.440465e-09,1.163377e-09,9.438598e-10
57.0,1.060184e-09,1.152828e-09,1.252852e-09,1.085116e-09,9.734763e-10
