Hz,183S,183N,183m
249.0,1.376457e-10,1.260499e-10,1.331043e-10
249.5,1.443857e-10,1.535845e-10,1.216194e-10
250.0,1.453127e-10,1.575926e-10,1.20787e-10
250.5,1.43866e-10,1.405206e-10,1.248869e-10
251.0,1.536713e-10,1.331454e-10,1.254483e-10
251.5,1.621515e-10,1.311639e-10,1.209213e-10
252.0,1.494391e-10,1.32164e-10,1.397975e-10
252.5,1.36759e-10,1.387301e-10,1.422338e-10
253.0,1.483526e-10,1.243226e-10,1.316763e-10
253.5,1.440486e-10,1.069018e-10,1.359985e-10
254.0,1.526182e-10,1.119461e-10,1.293688e-10
254.5,1.34148e-10,1.158991e-10,1.369906e-10
255.0,1.303726e-10,1.601399e-10,1.421651e-10
255.5,1.390324e-10,1.619039e-10,1.285593e-10
256.0,1.402501e-10,1.357293e-10,1.374179e-10
256.5,1.497341e-10,1.440124e-10,1.374392e-10
257.0,1.44149e-10,1.586179e-10,1.125181e-10
257.5,1.386014e-10,1.415049e-10,1.240801e-10
258.0,1.213863e-10,1.217729e-10,1.409375e-10
258.5,1.381242e-10,1.353611e-10,1.317549e-10
259.0,1.615952e-10,1.350549e-10,1.37977e-10
259.5,1.455192e-10,1.390386e-10,1.311491e-10
260.0,1.289723e-10,1.406061e-10,1.21065e-10
260.5,1.452363e-10,1.36219e-10,1.13997e-10
261.0,1.571838e-10,1.404758e-10,1.089341e-10
261.5,1.38989e-10,1.460996e-10,1.264027e-10
262.0,1.508975e-10,1.386372e-10,1.220098e-10
262.5,1.323983e-10,1.533129e-10,1.402039e-10
263.0,1.077464e-10,1.573489e-10,1.351067e-10
263.5,1.193096e-10,1.423655e-10,1.295971e-10
264.0,1.14437e-10,1.395419e-10,1.368066e-10
264.5,1.128911e-10,1.185598e-10,1.252794e-10
265.0,1.097422e-10,1.229353e-10,1.202614e-10
265.5,1.143462e-10,1.250057e-10,1.173155e-10
266.0,1.157654e-10,1.268164e-10,1.238691e-10
266.5,1.307264e-10,1.211963e-10,1.399185e-10
267.0,1.296389e-10,1.149452e-10,1.384835e-10
267.5,1.134229e-10,1.233795e-10,1.238415e-10
268.0,1.187474e-10,1.186303e-10,1.300617e-10
268.5,1.305083e-10,1.186849e-10,1.337725e-10
269.0,1.429556e-10,1.200953e-10,1.252833e-10
269.5,1.317545e-10,1.200216e-10,1.341117e-10
270.0,1.151006e-10,1.209695e-10,1.205881e-10
270.5,1.234375e-10,1.251848e-10,1.121559e-10
271.0,1.084282e-10,1.38424e-10,1.369108e-10
271.5,1.115742e-10,1.346072e-10,1.293307e-10
272.0,1.062824e-10,1.255314e-10,1.298504e-10
272.5,1.181112e-10,1.349611e-10,1.415461e-10
273.0,1.235782e-10,1.386651e-10,1.221559e-10
273.5,1.18433e-10,1.274185e-10,1.115545e-10
274.0,1.244348e-10,1.256125e-10,1.171933e-10
274.5,1.372627e-10,1.332335e-10,1.055675e-10
275.0,1.17932e-10,1.278561e-10,1.094251e-10
275.5,1.06971e-10,1.151008e-10,1.223437e-10
276.0,1.274108e-10,1.082227e-10,1.277525e-10
276.5,1.471057e-10,1.29275e-10,1.228836e-10
277.0,1.134339e-10,1.361729e-10,1.068829e-10
277.5,1.234981e-10,1.31353e-10,1.195394e-10
278.0,1.293445e-10,1.075318e-10,1.412553e-10
278.5,1.266992e-10,1.230638e-10,1.339165e-10
279.0,1.290882e-10,1.149993e-10,1.217463e-10
279.5,1.217957e-10,1.083914e-10,1.126922e-10
280.0,1.107061e-10,1.100995e-10,1.067988e-10
280.5,1.173243e-10,1.193605e-10,1.054318e-10
281.0,1.304753e-10,1.028679e-10,1.241841e-10
281.5,1.372606e-10,9.882531e-11,1.202881e-10
282.0,1.480339e-10,1.054756e-10,1.049233e-10
282.5,1.308729e-10,1.09296e-10,1.115852e-10
283.0,1.099481e-10,1.130979e-10,1.337082e-10
283.5,1.120981e-10,1.227531e-10,1.158353e-10
284.0,1.253397e-10,1.24266e-10,9.621329e-11
284.5,2.635938e-10,1.253025e-10,1.094078e-10
285.0,2.765883e-10,1.305922e-10,1.241483e-10
285.5,1.374808e-10,1.156961e-10,1.202287e-10
286.0,1.222453e-10,1.148572e-10,1.241013e-10
286.5,1.161445e-10,1.188817e-10,1.039209e-10
287.0,1.256667e-10,1.191262e-10,1.003152e-10
287.5,1.206169e-10,1.310963e-10,1.129527e-10
288.0,1.164984e-10,1.158541e-10,1.274656e-10
288.5,1.132983e-10,9.982046e-11,1.199125e-10
289.0,1.267922e-10,1.073041e-10,1.173974e-10
289.5,1.085873e-10,1.16656e-10,1.092928e-10
290.0,9.850151e-11,1.234862e-10,1.147739e-10
290.5,1.051961e-10,1.232511e-10,1.291508e-10
291.0,1.232446e-10,1.247352e-10,1.092797e-10
291.5,1.273588e-10,1.116564e-10,1.202939e-10
292.0,1.325592e-10,1.064077e-10,1.340796e-10
292.5,1.123262e-10,1.064103e-10,1.17749e-10
293.0,1.068613e-10,1.118607e-10,1.174181e-10
293.5,1.059203e-10,1.230536e-10,1.104283e-10
294.0,9.591705e-11,1.30807e-10,1.181116e-10
294.5,8.923777e-11,1.287371e-10,1.000276e-10
295.0,8.646951e-11,1.157198e-10,9.163874e-11
295.5,9.217264e-11,1.114401e-10,1.06367e-10
296.0,8.520933e-11,1.194606e-10,1.109339e-10
296.5,9.958451e-11,1.136032e-10,1.039593e-10
297.0,1.233506e-10,1.028344e-10,1.101789e-10
297.5,1.118289e-10,9.744898e-11,1.130574e-10
298.0,1.088347e-10,9.753819e-11,1.221692e-10
298.5,1.20482e-10,1.000562e-10,1.166496e-10
299.0,1.0114e-10,9.275214e-11,1.078078e-10
299.5,1.058281e-10,1.147324e-10,1.535467e-10
300.0,1.10506e-10,1.336035e-10,1.901564e-10
300.5,9.751947e-11,1.084336e-10,1.142353e-10
301.0,1.064506e-10,1.0387e-10,1.11949e-10
301.5,1.04693e-10,9.086311e-11,1.119236e-10
302.0,1.104931e-10,1.080497e-10,1.141687e-10
302.5,1.097742e-10,1.160905e-10,1.276623e-10
303.0,1.101225e-10,1.035874e-10,1.11261e-10
303.5,1.093687e-10,9.661619e-11,1.117889e-10
304.0,1.137188e-10,1.052655e-10,1.103432e-10
304.5,1.234195e-10,1.049951e-10,1.089441e-10
305.0,1.138951e-10,1.04515e-10,1.05774e-10
305.5,1.005052e-10,1.132604e-10,1.092291e-10
306.0,9.287234e-11,1.207817e-10,1.141658e-10
306.5,9.617229e-11,1.204199e-10,1.106008e-10
307.0,1.095517e-10,1.196118e-10,1.04691e-10
307.5,1.110467e-10,1.207437e-10,1.11626e-10
308.0,1.067941e-10,9.588541e-11,1.057811e-10
308.5,1.125282e-10,9.574382e-11,1.058369e-10
309.0,1.389996e-10,9.783575e-11,1.127564e-10
309.5,1.404025e-10,1.017699e-10,1.068473e-10
310.0,1.198393e-10,1.039376e-10,1.03945e-10
310.5,1.101885e-10,1.015529e-10,1.146675e-10
311.0,1.068446e-10,1.060673e-10,1.208829e-10
311.5,1.218856e-10,1.064984e-10,1.041189e-10
312.0,1.134261e-10,8.790242e-11,1.012103e-10
312.5,9.89382e-11,8.66352e-11,9.515187e-11
313.0,9.135015e-11,9.958794e-11,9.092557e-11
313.5,9.324813e-11,1.000138e-10,9.665783e-11
314.0,1.039577e-10,9.803238e-11,1.048478e-10
314.5,1.044128e-10,9.503576e-11,9.103474e-11
315.0,9.915942e-11,1.083572e-10,8.720196e-11
315.5,1.020613e-10,1.04723e-10,9.053476e-11
316.0,1.079115e-10,8.798568e-11,9.081048e-11
316.5,1.126071e-10,9.293287e-11,9.897445e-11
317.0,1.134337e-10,1.023193e-10,1.01513e-10
317.5,1.16863e-10,9.649193e-11,9.511833e-11
318.0,1.098365e-10,9.584292e-11,9.268431e-11
318.5,8.93752e-11,9.807821e-11,1.108396e-10
319.0,8.649349e-11,9.116968e-11,1.199553e-10
319.5,9.570776e-11,1.11453e-10,1.142063e-10
320.0,8.855728e-11,1.070621e-10,8.878143e-11
320.5,8.677721e-11,8.676093e-11,8.911359e-11
321.0,9.567781e-11,7.939253e-11,9.500388e-11
321.5,1.083814e-10,7.664399e-11,9.284323e-11
322.0,9.969556e-11,1.001101e-10,9.470082e-11
322.5,9.663315e-11,1.039747e-10,9.546555e-11
323.0,9.759855e-11,1.075676e-10,1.005105e-10
323.5,1.125084e-10,1.139021e-10,9.706606e-11
324.0,1.138619e-10,9.677683e-11,1.001891e-10
324.5,9.655865e-11,9.387287e-11,9.178516e-11
325.0,9.486305e-11,9.892929e-11,9.060785e-11
325.5,9.749943e-11,9.466922e-11,1.01094e-10
326.0,1.050478e-10,7.750346e-11,1.028736e-10
326.5,9.160065e-11,9.619321e-11,1.07992e-10
327.0,9.960782e-11,9.700121e-11,1.132096e-10
327.5,9.898435e-11,1.014982e-10,1.066254e-10
328.0,9.227189e-11,1.077971e-10,9.8928e-11
328.5,8.397241e-11,1.059576e-10,1.186089e-10
329.0,9.79582e-11,9.829614e-11,1.171079e-10
329.5,9.417971e-11,1.050032e-10,1.015436e-10
330.0,8.579215e-11,1.001931e-10,9.362211e-11
330.5,9.940805e-11,9.910592e-11,9.066877e-11
331.0,9.565256e-11,1.048552e-10,8.388613e-11
331.5,9.517187e-11,1.106704e-10,9.810962e-11
332.0,1.020413e-10,1.025957e-10,1.106598e-10
332.5,1.011771e-10,8.926032e-11,8.97975e-11
333.0,1.037725e-10,9.856804e-11,9.492369e-11
333.5,8.999561e-11,1.017089e-10,1.118065e-10
334.0,9.91768e-11,1.004825e-10,1.031452e-10
334.5,9.975828e-11,1.113236e-10,8.111947e-11
335.0,8.480024e-11,1.130409e-10,9.654302e-11
335.5,8.441671e-11,1.056583e-10,1.071001e-10
336.0,9.621473e-11,8.08819e-11,1.075502e-10
336.5,9.611081e-11,8.760329e-11,9.658737e-11
337.0,8.844111e-11,9.679958e-11,1.045319e-10
337.5,9.12987e-11,1.058702e-10,1.009263e-10
338.0,9.645956e-11,1.031734e-10,8.422331e-11
338.5,1.020782e-10,8.593975e-11,9.131453e-11
339.0,1.070673e-10,8.704818e-11,1.012234e-10
339.5,1.054854e-10,8.613899e-11,8.817675e-11
340.0,9.118648e-11,9.248032e-11,8.29914e-11
340.5,8.862506e-11,9.371201e-11,8.557048e-11
341.0,1.024484e-10,8.704625e-11,8.150559e-11
341.5,9.560775e-11,9.68556e-11,8.515526e-11
342.0,9.329729e-11,1.020226e-10,8.915843e-11
342.5,8.051221e-11,9.167825e-11,8.377377e-11
343.0,8.8016e-11,7.589331e-11,9.295467e-11
343.5,9.551712e-11,7.925727e-11,8.779198e-11
344.0,9.67972e-11,8.280617e-11,7.893189e-11
344.5,9.387936e-11,9.073742e-11,9.381253e-11
345.0,8.750284e-11,9.286834e-11,9.482578e-11
345.5,9.32809e-11,8.518045e-11,1.004546e-10
346.0,9.035313e-11,8.585987e-11,1.03559e-10
346.5,9.585865e-11,9.925243e-11,8.856463e-11
347.0,1.010658e-10,9.8532e-11,9.368576e-11
347.5,8.780973e-11,9.727125e-11,8.683423e-11
348.0,1.065141e-10,9.982003e-11,8.486439e-11
348.5,1.036427e-10,9.493077e-11,9.46682e-11
349.0,8.890216e-11,9.073788e-11,8.365555e-11
349.5,9.027423e-11,9.25854e-11,7.844992e-11
350.0,9.262024e-11,8.670899e-11,8.911165e-11
350.5,9.573023e-11,8.28276e-11,1.023673e-10
351.0,9.912397e-11,8.907881e-11,1.015968e-10
351.5,8.953858e-11,1.013253e-10,9.161655e-11
352.0,8.77173e-11,9.819551e-11,7.607522e-11
352.5,8.123106e-11,8.932449e-11,7.401603e-11
353.0,8.371382e-11,8.882607e-11,8.746429e-11
353.5,9.525004e-11,8.799868e-11,9.689272e-11
354.0,8.186174e-11,8.441074e-11,9.49675e-11
354.5,7.923337e-11,8.043718e-11,9.790883e-11
355.0,7.443074e-11,7.677813e-11,9.644794e-11
355.5,8.025663e-11,8.295675e-11,8.280027e-11
356.0,8.799363e-11,7.681553e-11,8.322167e-11
356.5,9.55078e-11,8.979342e-11,8.948578e-11
357.0,8.79114e-11,9.144564e-11,8.293409e-11
357.5,8.315439e-11,8.973496e-11,8.957034e-11
358.0,8.402534e-11,8.959639e-11,8.164297e-11
358.5,9.074401e-11,8.606012e-11,8.887588e-11
359.0,8.814715e-11,8.804539e-11,8.25234e-11
359.5,8.860394e-11,8.296498e-11,8.247786e-11
360.0,8.869393e-11,9.030088e-11,9.287846e-11
360.5,8.753596e-11,9.988032e-11,9.002723e-11
361.0,9.615907e-11,9.666396e-11,8.266472e-11
361.5,9.395115e-11,9.093754e-11,1.043411e-10
362.0,8.427321e-11,8.845536e-11,1.125191e-10
362.5,8.751368e-11,7.547217e-11,9.056173e-11
363.0,8.028743e-11,6.636117e-11,7.991505e-11
363.5,8.081168e-11,7.748947e-11,7.221345e-11
364.0,8.02379e-11,9.575835e-11,7.730026e-11
364.5,9.606673e-11,7.797856e-11,8.428869e-11
365.0,9.751479e-11,7.617115e-11,9.02096e-11
365.5,9.751005e-11,8.173302e-11,8.579996e-11
366.0,9.160578e-11,7.733222e-11,7.103183e-11
366.5,8.007607e-11,8.654706e-11,6.551317e-11
367.0,7.851661e-11,9.585193e-11,7.971497e-11
367.5,8.977875e-11,8.620485e-11,8.530607e-11
368.0,8.485418e-11,7.965366e-11,8.413249e-11
368.5,7.846667e-11,8.013471e-11,8.136995e-11
369.0,7.880416e-11,9.075764e-11,8.341535e-11
369.5,7.934974e-11,8.382433e-11,8.434688e-11
370.0,7.940287e-11,6.889252e-11,8.927218e-11
370.5,8.459099e-11,7.403871e-11,8.25174e-11
371.0,8.005289e-11,8.221669e-11,7.68041e-11
371.5,7.679586e-11,8.825725e-11,8.272479e-11
372.0,8.504451e-11,8.475026e-11,7.892339e-11
372.5,8.138963e-11,9.579958e-11,7.577929e-11
373.0,9.090306e-11,8.28228e-11,8.428874e-11
373.5,9.12411e-11,7.774168e-11,8.194862e-11
374.0,7.477741e-11,8.359187e-11,8.200907e-11
374.5,7.711685e-11,8.417602e-11,8.629029e-11
375.0,8.378897e-11,8.482863e-11,7.252606e-11
375.5,8.670497e-11,9.911841e-11,6.761378e-11
376.0,8.384916e-11,9.125736e-11,6.890128e-11
376.5,7.531636e-11,7.35256e-11,8.109843e-11
377.0,7.627347e-11,8.008905e-11,9.532075e-11
377.5,8.247435e-11,9.069307e-11,1.005963e-10
378.0,8.228224e-11,8.160161e-11,8.475024e-11
378.5,8.452222e-11,7.068634e-11,7.308582e-11
379.0,7.05557e-11,7.388244e-11,6.711203e-11
379.5,8.056213e-11,8.397906e-11,7.288072e-11
380.0,8.128904e-11,7.70994e-11,8.031995e-11
380.5,7.924972e-11,8.453415e-11,9.217091e-11
381.0,8.507506e-11,7.922537e-11,8.151074e-11
381.5,8.523541e-11,7.167634e-11,9.303328e-11
382.0,8.228437e-11,8.088907e-11,8.641984e-11
382.5,7.523647e-11,6.525487e-11,7.812693e-11
383.0,7.453188e-11,7.537257e-11,8.266406e-11
383.5,7.175522e-11,7.800918e-11,7.402882e-11
384.0,8.458186e-11,6.44023e-11,8.248476e-11
384.5,8.840307e-11,7.132212e-11,7.455547e-11
385.0,7.641011e-11,7.843241e-11,6.559533e-11
385.5,8.274413e-11,7.522381e-11,6.786911e-11
386.0,8.460085e-11,6.769742e-11,6.623941e-11
386.5,7.65823e-11,7.668584e-11,6.710157e-11
387.0,8.255541e-11,9.104285e-11,7.393344e-11
387.5,8.85366e-11,8.213662e-11,8.520857e-11
388.0,7.961171e-11,7.788977e-11,8.197812e-11
388.5,7.745804e-11,7.582376e-11,8.50843e-11
389.0,8.021508e-11,8.140216e-11,8.521763e-11
389.5,7.376545e-11,8.027474e-11,8.381174e-11
390.0,6.989052e-11,7.603779e-11,8.691778e-11
390.5,7.017429e-11,7.505368e-11,7.201796e-11
391.0,7.388219e-11,7.069154e-11,8.397961e-11
391.5,7.843975e-11,7.147344e-11,8.470487e-11
392.0,7.876055e-11,8.199832e-11,7.012534e-11
392.5,8.30568e-11,7.125815e-11,9.632287e-11
393.0,7.536054e-11,7.52263e-11,9.383341e-11
393.5,7.898492e-11,8.816953e-11,8.008099e-11
394.0,7.758657e-11,9.665996e-11,6.994421e-11
394.5,8.307318e-11,7.758676e-11,7.243227e-11
395.0,7.298848e-11,7.616824e-11,8.328697e-11
395.5,7.308539e-11,7.172153e-11,6.870315e-11
396.0,7.515794e-11,7.599221e-11,6.64277e-11
396.5,7.608337e-11,7.810042e-11,8.543913e-11
397.0,6.999206e-11,7.31036e-11,9.037768e-11
397.5,8.387384e-11,6.84782e-11,7.179606e-11
398.0,8.761567e-11,7.531731e-11,7.440665e-11
398.5,8.598213e-11,8.317683e-11,7.738768e-11
399.0,7.724232e-11,7.622671e-11,7.878011e-11
399.5,6.647393e-11,7.020284e-11,7.383679e-11
400.0,6.479758e-11,7.073548e-11,7.371852e-11
