Hz,180N,180m,180s,180NE
193.5,1.915861e-10,2.063538e-10,1.745665e-10,1.902946e-10
194.0,2.115408e-10,1.679965e-10,1.739333e-10,1.924395e-10
194.5,1.998879e-10,2.056655e-10,1.926613e-10,1.796389e-10
195.0,2.072515e-10,2.224308e-10,1.785065e-10,1.967357e-10
195.5,1.951479e-10,1.872446e-10,1.72593e-10,2.023289e-10
196.0,1.713788e-10,1.956861e-10,1.88844e-10,1.854508e-10
196.5,2.044028e-10,2.097958e-10,1.856621e-10,1.929614e-10
197.0,1.892038e-10,1.934552e-10,1.947743e-10,1.928022e-10
197.5,1.856556e-10,1.919005e-10,1.834149e-10,1.654275e-10
198.0,1.792779e-10,1.918022e-10,1.795056e-10,1.599002e-10
198.5,2.003343e-10,1.874097e-10,1.623889e-10,1.65641e-10
199.0,1.87032e-10,1.876004e-10,1.630561e-10,1.692366e-10
199.5,1.672492e-10,2.137796e-10,1.684354e-10,1.912358e-10
200.0,1.790656e-10,1.87733e-10,1.706822e-10,1.882383e-10
200.5,1.720005e-10,1.581882e-10,1.720675e-10,1.695371e-10
201.0,1.914189e-10,1.802555e-10,1.897107e-10,1.61193e-10
201.5,2.03942e-10,1.759833e-10,1.760337e-10,1.77876e-10
202.0,2.034543e-10,1.895352e-10,1.73324e-10,1.93633e-10
202.5,1.957623e-10,2.027573e-10,1.819616e-10,1.716088e-10
203.0,2.133948e-10,1.837728e-10,1.768951e-10,1.702041e-10
203.5,1.959639e-10,1.905577e-10,1.475371e-10,1.756709e-10
204.0,1.646497e-10,1.929136e-10,1.551711e-10,1.791571e-10
204.5,1.863135e-10,1.780832e-10,1.912555e-10,1.887658e-10
205.0,1.980073e-10,1.710904e-10,1.900474e-10,1.647721e-10
205.5,1.721339e-10,1.689914e-10,1.807749e-10,1.696206e-10
206.0,1.883911e-10,1.780648e-10,1.855324e-10,1.683848e-10
206.5,1.876364e-10,2.014552e-10,1.764389e-10,1.805564e-10
207.0,1.923247e-10,2.247464e-10,1.647815e-10,2.032345e-10
207.5,1.926199e-10,2.069401e-10,1.55157e-10,1.965434e-10
208.0,1.698647e-10,2.051978e-10,1.638525e-10,1.734494e-10
208.5,1.7414e-10,2.135023e-10,1.851713e-10,1.685974e-10
209.0,1.934903e-10,1.606309e-10,2.016663e-10,1.913328e-10
209.5,1.931379e-10,1.530001e-10,1.822927e-10,1.805951e-10
210.0,1.649252e-10,1.686541e-10,1.857371e-10,1.552142e-10
210.5,1.718911e-10,1.631292e-10,1.913109e-10,1.680611e-10
211.0,1.707253e-10,1.735455e-10,1.84938e-10,1.703315e-10
211.5,1.632765e-10,2.022099e-10,1.907197e-10,1.778004e-10
212.0,1.543975e-10,1.73933e-10,1.584144e-10,1.937698e-10
212.5,1.378273e-10,1.505936e-10,1.312194e-10,1.892912e-10
213.0,1.448988e-10,1.672406e-10,1.806402e-10,1.728875e-10
213.5,1.582014e-10,1.701435e-10,1.954973e-10,1.84248e-10
214.0,1.608574e-10,1.57686e-10,1.994383e-10,1.797549e-10
214.5,1.717105e-10,1.7876e-10,1.751098e-10,1.456948e-10
215.0,1.728621e-10,1.665554e-10,1.653671e-10,1.496919e-10
215.5,1.614236e-10,1.650183e-10,1.484666e-10,1.651752e-10
216.0,1.789446e-10,1.681095e-10,1.539368e-10,1.72792e-10
216.5,1.832165e-10,1.850792e-10,1.671424e-10,1.467456e-10
217.0,1.643771e-10,1.635038e-10,1.747672e-10,1.348291e-10
217.5,1.520745e-10,1.772601e-10,1.696293e-10,1.352338e-10
218.0,1.471735e-10,1.909851e-10,1.53461e-10,1.585074e-10
218.5,1.674351e-10,1.868923e-10,1.765763e-10,1.810393e-10
219.0,2.021193e-10,1.810714e-10,1.903109e-10,1.841227e-10
219.5,1.85304e-10,1.74539e-10,1.666966e-10,1.697873e-10
220.0,1.607941e-10,1.717335e-10,1.574814e-10,1.701063e-10
220.5,1.495785e-10,1.576813e-10,1.482377e-10,1.602203e-10
221.0,1.578567e-10,1.813532e-10,1.527131e-10,1.736337e-10
221.5,1.750606e-10,1.704697e-10,1.454295e-10,1.634729e-10
222.0,1.572449e-10,1.564345e-10,1.650734e-10,1.446353e-10
222.5,1.496775e-10,1.586856e-10,1.838405e-10,1.367104e-10
223.0,1.479775e-10,1.697762e-10,1.567239e-10,1.563866e-10
223.5,1.490841e-10,1.701196e-10,1.725881e-10,1.624592e-10
224.0,1.577181e-10,1.63596e-10,1.886063e-10,1.590444e-10
224.5,1.663727e-10,1.69102e-10,1.535794e-10,1.579356e-10
225.0,1.543535e-10,1.713746e-10,1.55818e-10,1.405326e-10
225.5,1.485425e-10,1.769362e-10,1.610854e-10,1.332763e-10
226.0,1.621103e-10,1.489734e-10,1.587598e-10,1.228508e-10
226.5,1.675799e-10,1.431859e-10,1.517268e-10,1.533206e-10
227.0,1.88931e-10,1.598426e-10,1.517491e-10,1.643034e-10
227.5,1.879229e-10,1.735021e-10,1.710557e-10,1.468733e-10
228.0,1.708407e-10,1.74998e-10,2.033479e-10,1.51682e-10
228.5,1.700241e-10,1.539431e-10,1.845364e-10,1.626151e-10
229.0,1.603014e-10,1.726278e-10,1.702097e-10,1.61082e-10
229.5,1.635445e-10,1.757313e-10,1.492553e-10,1.654987e-10
230.0,1.616705e-10,1.729396e-10,1.328482e-10,1.429113e-10
230.5,1.558679e-10,1.610401e-10,1.460292e-10,1.288261e-10
231.0,1.37161e-10,1.4654e-10,1.439481e-10,1.578147e-10
231.5,1.659252e-10,1.324442e-10,1.397821e-10,1.608457e-10
232.0,1.638628e-10,1.438192e-10,1.31987e-10,1.644165e-10
232.5,1.57198e-10,1.765051e-10,1.509773e-10,1.63944e-10
233.0,1.603115e-10,1.667637e-10,1.480255e-10,1.552306e-10
233.5,1.378054e-10,1.415319e-10,1.409217e-10,1.504866e-10
234.0,1.266581e-10,1.513859e-10,1.421032e-10,1.454993e-10
234.5,1.436515e-10,1.378978e-10,1.488925e-10,1.383116e-10
235.0,1.535312e-10,1.486643e-10,1.566538e-10,1.385571e-10
235.5,1.525474e-10,1.60105e-10,1.428769e-10,1.490523e-10
236.0,1.560129e-10,1.621876e-10,1.357343e-10,1.643777e-10
236.5,1.722304e-10,1.612872e-10,1.44748e-10,1.585064e-10
237.0,1.818964e-10,1.716264e-10,1.549968e-10,1.349466e-10
237.5,1.576657e-10,1.559456e-10,1.546152e-10,1.355289e-10
238.0,1.39317e-10,1.487987e-10,1.378994e-10,1.352299e-10
238.5,1.618742e-10,1.324541e-10,1.441853e-10,1.544846e-10
239.0,1.525195e-10,1.304535e-10,1.57406e-10,1.617343e-10
239.5,1.443512e-10,1.567636e-10,1.414147e-10,1.75849e-10
240.0,1.358003e-10,1.479213e-10,1.385719e-10,2.231524e-10
240.5,1.370764e-10,1.380295e-10,1.485751e-10,1.667612e-10
241.0,1.371361e-10,1.430144e-10,1.452828e-10,1.434791e-10
241.5,1.305278e-10,1.456608e-10,1.454473e-10,1.436215e-10
242.0,1.380033e-10,1.432412e-10,1.431214e-10,1.478176e-10
242.5,1.314303e-10,1.2667e-10,1.318592e-10,1.509483e-10
243.0,1.120574e-10,1.320617e-10,1.467896e-10,1.538938e-10
243.5,1.345139e-10,1.526412e-10,1.608075e-10,1.522855e-10
244.0,1.446346e-10,1.564672e-10,1.504085e-10,1.306643e-10
244.5,1.288327e-10,1.633894e-10,1.435449e-10,1.1447e-10
245.0,1.289965e-10,1.777645e-10,1.264305e-10,1.234113e-10
245.5,1.338176e-10,1.573175e-10,1.40243e-10,1.283792e-10
246.0,1.384994e-10,1.440185e-10,1.34408e-10,1.503574e-10
246.5,1.487811e-10,1.501394e-10,1.477174e-10,1.449052e-10
247.0,1.444911e-10,1.462676e-10,1.667451e-10,1.49501e-10
247.5,1.337729e-10,1.552618e-10,1.663059e-10,1.472722e-10
248.0,1.149899e-10,1.544651e-10,1.491766e-10,1.457219e-10
248.5,1.333801e-10,1.388148e-10,1.509106e-10,1.211147e-10
249.0,1.50874e-10,1.339476e-10,1.591899e-10,1.234639e-10
249.5,1.321546e-10,1.338818e-10,1.636904e-10,1.401579e-10
250.0,1.38593e-10,1.255366e-10,1.431951e-10,1.257647e-10
250.5,1.579113e-10,1.357329e-10,1.496841e-10,1.194161e-10
251.0,1.634889e-10,1.490763e-10,1.437514e-10,1.226787e-10
251.5,1.397876e-10,1.457026e-10,1.06453e-10,1.314697e-10
252.0,1.374607e-10,1.538023e-10,1.33184e-10,1.285322e-10
252.5,1.327495e-10,1.400751e-10,1.550302e-10,1.269923e-10
253.0,1.34486e-10,1.492642e-10,1.30166e-10,1.419458e-10
253.5,1.329855e-10,1.304759e-10,1.306061e-10,1.357167e-10
254.0,1.289273e-10,1.195863e-10,1.329717e-10,1.358147e-10
254.5,1.26142e-10,1.28024e-10,1.258169e-10,1.254242e-10
255.0,1.297645e-10,1.474263e-10,1.229948e-10,1.211714e-10
255.5,1.391943e-10,1.4898e-10,1.181711e-10,1.158849e-10
256.0,1.358772e-10,1.503466e-10,1.346572e-10,1.373739e-10
256.5,1.147313e-10,1.524952e-10,1.328184e-10,1.534126e-10
257.0,1.148107e-10,1.11517e-10,1.282049e-10,1.498931e-10
257.5,1.256014e-10,1.080074e-10,1.075534e-10,1.385341e-10
258.0,1.332596e-10,1.342732e-10,1.243823e-10,1.296351e-10
258.5,1.308699e-10,1.277561e-10,1.39201e-10,1.321686e-10
259.0,1.475953e-10,1.484747e-10,1.435278e-10,1.373671e-10
259.5,1.328973e-10,1.22139e-10,1.554058e-10,1.515138e-10
260.0,1.246092e-10,1.445102e-10,1.588167e-10,1.44305e-10
260.5,1.247679e-10,1.437238e-10,1.440624e-10,1.31041e-10
261.0,1.361398e-10,1.259854e-10,1.377569e-10,1.378112e-10
261.5,1.353198e-10,1.291883e-10,1.359703e-10,1.369136e-10
262.0,1.188151e-10,1.134633e-10,1.447716e-10,1.252122e-10
262.5,1.250205e-10,1.088348e-10,1.267979e-10,1.244854e-10
263.0,1.267539e-10,1.062665e-10,1.285047e-10,1.123177e-10
263.5,1.297532e-10,1.219851e-10,1.272233e-10,1.116844e-10
264.0,1.280782e-10,1.377934e-10,1.130239e-10,1.100858e-10
264.5,1.212815e-10,1.465457e-10,1.149591e-10,1.121504e-10
265.0,1.306333e-10,1.447141e-10,1.092073e-10,1.214521e-10
265.5,1.37611e-10,1.481629e-10,1.077747e-10,1.405501e-10
266.0,1.493016e-10,1.488019e-10,1.295496e-10,1.572219e-10
266.5,1.605981e-10,1.322268e-10,1.365666e-10,1.533313e-10
267.0,1.430087e-10,1.190419e-10,1.250249e-10,1.372171e-10
267.5,1.210269e-10,1.223312e-10,1.135041e-10,1.357373e-10
268.0,1.144685e-10,1.417238e-10,1.292033e-10,1.153956e-10
268.5,1.278876e-10,1.386718e-10,1.223929e-10,1.033805e-10
269.0,1.377425e-10,1.208313e-10,1.329451e-10,9.928979e-11
269.5,1.302253e-10,1.36092e-10,1.082177e-10,1.176404e-10
270.0,1.466469e-10,1.392927e-10,1.327191e-10,1.335995e-10
270.5,1.270326e-10,1.446428e-10,1.284894e-10,1.394296e-10
271.0,1.1575e-10,1.460957e-10,1.225622e-10,1.330701e-10
271.5,1.15897e-10,1.353258e-10,1.261213e-10,1.227536e-10
272.0,1.246794e-10,1.39894e-10,1.305434e-10,1.244067e-10
272.5,1.100807e-10,1.359154e-10,1.163426e-10,1.25774e-10
273.0,1.170271e-10,1.127296e-10,1.266032e-10,1.325906e-10
273.5,1.37484e-10,1.238752e-10,1.201425e-10,1.504377e-10
274.0,1.375572e-10,1.300465e-10,1.048643e-10,1.435479e-10
274.5,1.064844e-10,1.185489e-10,1.096635e-10,1.193509e-10
275.0,1.165477e-10,1.045734e-10,1.320913e-10,1.079285e-10
275.5,1.192918e-10,1.288999e-10,1.487755e-10,1.169304e-10
276.0,1.102251e-10,1.298258e-10,1.294297e-10,1.153044e-10
276.5,1.183588e-10,1.177481e-10,1.264315e-10,1.108192e-10
277.0,1.314652e-10,1.181086e-10,1.290639e-10,1.087277e-10
277.5,1.306862e-10,1.241523e-10,1.314131e-10,1.155591e-10
278.0,1.065783e-10,1.260855e-10,1.296028e-10,1.322851e-10
278.5,1.012625e-10,1.191157e-10,1.224655e-10,1.292569e-10
279.0,1.153932e-10,1.169178e-10,1.195387e-10,1.330284e-10
279.5,1.252513e-10,1.218595e-10,1.233468e-10,1.338116e-10
280.0,1.249198e-10,1.390926e-10,1.286365e-10,1.196737e-10
280.5,1.2065e-10,1.45655e-10,1.221042e-10,1.119514e-10
281.0,1.051938e-10,1.284158e-10,1.179652e-10,1.068788e-10
281.5,1.184444e-10,9.809782e-11,1.231773e-10,9.812593e-11
282.0,1.253851e-10,1.304368e-10,1.362825e-10,1.000316e-10
282.5,1.321753e-10,1.31727e-10,1.300484e-10,1.204825e-10
283.0,1.182434e-10,1.229454e-10,1.111303e-10,1.229778e-10
283.5,1.065716e-10,1.257591e-10,9.072455e-11,1.166522e-10
284.0,1.112846e-10,1.499317e-10,1.217872e-10,1.180109e-10
284.5,1.103445e-10,1.400574e-10,1.291062e-10,1.096377e-10
285.0,1.265699e-10,1.162503e-10,1.242497e-10,1.065344e-10
285.5,1.241335e-10,1.340676e-10,1.302244e-10,1.044e-10
286.0,1.166632e-10,1.447361e-10,1.301225e-10,1.119248e-10
286.5,1.081032e-10,1.350711e-10,1.244069e-10,1.150291e-10
287.0,1.14975e-10,1.310652e-10,1.264288e-10,1.139661e-10
287.5,1.264132e-10,1.153183e-10,1.214951e-10,1.14183e-10
288.0,1.22565e-10,1.276379e-10,1.062931e-10,1.225715e-10
288.5,1.193401e-10,1.243403e-10,1.116627e-10,1.21353e-10
289.0,1.235357e-10,1.178965e-10,1.005292e-10,1.243205e-10
289.5,1.216408e-10,1.23411e-10,1.039853e-10,1.204306e-10
290.0,1.106189e-10,1.152639e-10,1.035995e-10,9.827746e-11
290.5,1.02689e-10,1.136446e-10,1.063489e-10,9.33764e-11
291.0,1.112619e-10,1.234515e-10,1.203707e-10,1.080619e-10
291.5,1.160185e-10,1.237662e-10,1.27544e-10,1.143815e-10
292.0,1.116953e-10,9.744342e-11,1.372997e-10,1.263592e-10
292.5,1.145983e-10,9.621264e-11,1.210463e-10,1.313859e-10
293.0,1.113291e-10,1.109672e-10,1.157852e-10,1.159412e-10
293.5,1.085554e-10,1.003982e-10,8.957163e-11,1.12727e-10
294.0,1.196766e-10,1.018445e-10,9.282095e-11,1.06413e-10
294.5,1.083132e-10,1.202904e-10,1.100232e-10,1.005346e-10
295.0,1.315303e-10,1.201176e-10,1.141545e-10,1.062941e-10
295.5,1.317328e-10,1.086377e-10,1.118572e-10,1.11731e-10
296.0,1.005791e-10,1.070443e-10,1.083255e-10,1.205867e-10
296.5,1.133089e-10,1.097295e-10,1.226101e-10,1.13023e-10
297.0,9.934682e-11,1.183134e-10,1.193373e-10,9.7365e-11
297.5,8.505539e-11,1.2571e-10,1.164287e-10,9.436592e-11
298.0,1.078724e-10,1.181971e-10,1.009585e-10,9.61207e-11
298.5,1.220037e-10,1.156797e-10,1.087518e-10,1.026783e-10
299.0,1.11304e-10,1.119965e-10,1.260792e-10,1.095969e-10
299.5,1.192179e-10,1.322453e-10,1.106999e-10,1.540497e-10
300.0,1.125716e-10,1.199264e-10,1.09077e-10,2.089401e-10
300.5,1.141185e-10,1.136164e-10,1.081081e-10,1.349585e-10
301.0,1.151278e-10,1.042013e-10,1.045718e-10,9.322095e-11
301.5,1.113301e-10,1.110724e-10,1.075517e-10,1.035916e-10
302.0,1.163541e-10,1.195524e-10,1.107371e-10,1.12751e-10
302.5,1.206612e-10,1.136982e-10,1.006469e-10,9.705366e-11
303.0,1.174944e-10,9.954701e-11,1.059498e-10,1.054364e-10
303.5,1.084411e-10,1.104694e-10,1.111279e-10,1.148906e-10
304.0,1.209686e-10,1.20533e-10,1.212891e-10,1.100272e-10
304.5,1.090088e-10,1.215045e-10,1.236249e-10,9.502923e-11
305.0,8.685593e-11,1.047416e-10,1.305373e-10,9.576619e-11
305.5,1.095004e-10,1.019032e-10,1.240685e-10,1.201012e-10
306.0,1.146951e-10,9.970605e-11,1.038145e-10,1.215396e-10
306.5,9.974382e-11,1.036309e-10,9.162986e-11,1.163336e-10
307.0,9.471079e-11,1.091639e-10,1.070319e-10,1.157972e-10
307.5,1.046516e-10,9.55008e-11,1.116786e-10,9.561174e-11
308.0,1.055205e-10,1.112375e-10,1.105275e-10,1.055434e-10
308.5,1.237913e-10,1.102941e-10,1.044739e-10,1.187357e-10
309.0,9.932699e-11,1.006939e-10,9.584535e-11,9.881117e-11
309.5,1.079892e-10,1.037301e-10,9.701857e-11,9.20941e-11
310.0,1.114135e-10,9.810512e-11,1.050033e-10,9.835618e-11
310.5,1.097899e-10,9.638192e-11,9.850337e-11,1.157639e-10
311.0,1.029943e-10,1.12645e-10,1.000628e-10,1.063378e-10
311.5,9.572349e-11,1.161877e-10,1.053121e-10,9.419302e-11
312.0,9.143496e-11,1.142402e-10,9.828308e-11,8.982695e-11
312.5,1.020671e-10,1.104492e-10,9.980219e-11,1.052448e-10
313.0,1.067284e-10,1.021701e-10,1.090199e-10,1.226079e-10
313.5,1.152744e-10,8.95341e-11,1.099214e-10,1.158721e-10
314.0,1.117563e-10,8.925913e-11,1.104594e-10,1.131287e-10
314.5,1.063317e-10,9.911873e-11,1.087625e-10,1.051909e-10
315.0,1.07338e-10,1.008682e-10,9.716866e-11,1.067418e-10
315.5,1.102201e-10,1.046905e-10,9.495126e-11,1.192327e-10
316.0,1.125599e-10,1.16241e-10,9.465672e-11,1.161542e-10
316.5,1.0054e-10,1.157382e-10,9.907707e-11,1.050064e-10
317.0,1.101178e-10,1.099905e-10,9.541437e-11,9.877146e-11
317.5,1.036729e-10,1.093744e-10,9.246996e-11,1.03061e-10
318.0,1.155741e-10,1.05224e-10,1.06633e-10,1.196089e-10
318.5,1.055854e-10,1.022097e-10,1.072169e-10,1.089826e-10
319.0,9.217552e-11,9.838434e-11,9.749694e-11,1.016246e-10
319.5,1.020443e-10,9.164836e-11,1.05161e-10,1.060647e-10
320.0,1.021763e-10,9.36318e-11,1.262677e-10,1.067492e-10
320.5,9.703158e-11,1.134172e-10,1.175011e-10,1.014572e-10
321.0,1.1529e-10,1.021884e-10,1.070384e-10,1.033322e-10
321.5,1.176182e-10,1.151074e-10,9.656617e-11,1.033914e-10
322.0,1.041677e-10,1.185505e-10,8.89707e-11,1.072945e-10
322.5,8.482365e-11,1.015429e-10,9.663539e-11,9.733184e-11
323.0,8.334294e-11,9.519303e-11,1.021728e-10,9.720209e-11
323.5,1.0194e-10,1.133186e-10,1.004754e-10,9.155111e-11
324.0,9.974191e-11,1.072979e-10,1.067311e-10,9.661258e-11
324.5,1.017351e-10,8.836477e-11,1.03156e-10,1.026817e-10
325.0,1.106564e-10,9.296315e-11,9.160088e-11,9.073102e-11
325.5,1.078108e-10,9.939702e-11,7.98218e-11,9.489051e-11
326.0,1.029662e-10,1.014552e-10,9.046645e-11,8.559095e-11
326.5,1.118496e-10,1.081682e-10,9.649618e-11,8.901518e-11
327.0,9.879649e-11,1.02134e-10,9.688372e-11,9.541945e-11
327.5,9.887538e-11,1.004202e-10,9.905989e-11,1.007409e-10
328.0,1.03601e-10,1.123877e-10,8.826943e-11,9.4925e-11
328.5,8.98134e-11,1.104813e-10,8.204987e-11,9.246628e-11
329.0,9.486206e-11,1.109902e-10,9.021367e-11,1.058449e-10
329.5,8.749362e-11,1.099139e-10,9.267614e-11,9.756589e-11
330.0,8.944519e-11,9.552922e-11,9.095608e-11,9.310861e-11
330.5,1.062013e-10,9.584904e-11,9.119153e-11,9.34586e-11
331.0,1.017831e-10,9.493346e-11,9.248866e-11,9.720266e-11
331.5,8.724668e-11,9.810638e-11,9.886843e-11,1.005694e-10
332.0,9.45513e-11,1.051312e-10,9.5209e-11,9.164917e-11
332.5,9.563096e-11,1.068241e-10,9.878525e-11,7.344805e-11
333.0,9.234775e-11,8.835189e-11,9.657832e-11,9.158196e-11
333.5,9.238423e-11,8.997085e-11,1.060672e-10,1.052709e-10
334.0,8.436148e-11,9.051793e-11,9.888219e-11,9.803797e-11
334.5,8.439691e-11,9.895061e-11,1.006971e-10,9.418446e-11
335.0,7.895284e-11,1.033909e-10,8.939757e-11,9.584675e-11
335.5,8.437352e-11,1.063959e-10,7.912168e-11,8.462921e-11
336.0,9.126886e-11,1.044772e-10,9.841485e-11,8.540017e-11
336.5,9.300334e-11,1.009772e-10,9.204864e-11,1.011966e-10
337.0,8.104658e-11,9.777529e-11,8.747872e-11,9.954319e-11
337.5,8.520126e-11,1.01449e-10,9.766717e-11,9.515314e-11
338.0,8.403261e-11,1.059524e-10,9.577163e-11,7.608116e-11
338.5,9.714917e-11,1.015163e-10,9.139376e-11,8.256725e-11
339.0,9.412517e-11,9.507557e-11,1.012032e-10,8.115479e-11
339.5,8.731358e-11,8.237835e-11,1.011262e-10,9.222755e-11
340.0,8.091029e-11,8.952935e-11,9.138157e-11,9.463139e-11
340.5,8.96373e-11,9.632341e-11,9.31798e-11,9.164679e-11
341.0,9.123501e-11,9.791431e-11,9.105537e-11,9.702836e-11
341.5,8.358723e-11,9.399218e-11,9.873191e-11,1.003695e-10
342.0,9.104319e-11,8.815517e-11,1.013484e-10,1.008641e-10
342.5,9.482175e-11,9.991722e-11,1.030152e-10,8.712996e-11
343.0,9.988738e-11,1.011313e-10,1.001748e-10,8.863197e-11
343.5,9.858423e-11,9.909492e-11,8.28663e-11,1.091261e-10
344.0,8.580127e-11,1.077674e-10,8.394167e-11,1.0769e-10
344.5,8.392279e-11,1.034863e-10,7.738722e-11,9.509923e-11
345.0,7.346285e-11,8.067556e-11,8.270205e-11,8.560493e-11
345.5,7.028831e-11,8.048778e-11,9.74954e-11,8.668887e-11
346.0,8.119005e-11,9.430304e-11,9.548481e-11,9.44132e-11
346.5,1.085853e-10,1.048983e-10,9.965859e-11,8.611577e-11
347.0,1.004167e-10,9.71938e-11,9.829843e-11,9.076296e-11
347.5,9.416368e-11,9.676656e-11,8.839725e-11,9.431857e-11
348.0,1.001612e-10,9.95534e-11,8.75251e-11,9.410263e-11
348.5,9.142221e-11,9.490451e-11,8.569253e-11,8.570537e-11
349.0,8.456789e-11,9.880388e-11,8.364554e-11,8.112828e-11
349.5,9.107326e-11,9.404953e-11,8.822471e-11,8.78524e-11
350.0,1.034305e-10,9.489798e-11,8.701422e-11,8.914994e-11
350.5,9.659903e-11,9.518823e-11,1.004111e-10,1.026541e-10
351.0,8.847698e-11,9.597157e-11,9.408504e-11,1.095095e-10
351.5,9.32171e-11,9.119226e-11,9.50206e-11,9.463395e-11
352.0,9.830809e-11,9.345881e-11,9.649104e-11,8.618332e-11
352.5,8.807485e-11,8.879235e-11,1.014489e-10,7.633277e-11
353.0,9.032664e-11,9.211502e-11,9.049171e-11,8.610514e-11
353.5,8.916778e-11,9.904942e-11,8.816366e-11,8.199632e-11
354.0,1.056445e-10,1.053226e-10,8.913766e-11,8.602217e-11
354.5,1.06472e-10,1.050296e-10,8.142915e-11,7.963374e-11
355.0,9.852191e-11,9.466389e-11,7.096237e-11,8.687384e-11
355.5,1.003549e-10,8.174798e-11,8.283729e-11,9.048826e-11
356.0,1.011677e-10,7.902208e-11,9.678693e-11,8.125826e-11
356.5,8.38267e-11,8.798066e-11,9.506568e-11,7.741341e-11
357.0,7.976009e-11,9.565532e-11,8.979188e-11,8.118944e-11
357.5,7.677085e-11,8.666429e-11,7.826584e-11,7.544797e-11
358.0,8.656652e-11,7.338497e-11,8.117858e-11,8.781385e-11
358.5,1.020394e-10,8.308203e-11,8.38099e-11,7.702276e-11
359.0,9.840065e-11,9.741744e-11,8.756908e-11,7.742621e-11
359.5,7.548456e-11,1.071399e-10,9.254254e-11,8.582022e-11
360.0,7.711224e-11,9.24066e-11,7.605894e-11,8.818943e-11
360.5,8.419397e-11,7.671975e-11,7.720938e-11,8.658985e-11
361.0,8.077498e-11,9.109288e-11,9.331552e-11,7.691584e-11
361.5,8.086191e-11,9.79324e-11,8.563857e-11,8.836441e-11
362.0,8.053493e-11,1.02716e-10,9.042999e-11,8.784942e-11
362.5,8.248477e-11,1.071316e-10,9.362525e-11,7.514329e-11
363.0,8.802081e-11,9.820434e-11,9.612447e-11,8.371243e-11
363.5,9.048034e-11,7.897884e-11,8.897008e-11,9.155385e-11
364.0,8.34347e-11,7.449039e-11,9.922099e-11,8.953849e-11
364.5,8.513053e-11,8.391717e-11,9.789047e-11,8.672273e-11
365.0,8.038799e-11,8.305488e-11,9.315779e-11,8.184311e-11
365.5,7.814113e-11,9.09413e-11,8.580098e-11,7.846998e-11
366.0,7.899061e-11,9.019667e-11,7.986398e-11,8.426909e-11
366.5,7.857674e-11,9.552642e-11,9.220276e-11,9.59547e-11
367.0,8.066248e-11,8.908525e-11,9.622591e-11,8.843393e-11
367.5,8.594869e-11,8.645543e-11,8.651217e-11,8.239321e-11
368.0,8.919206e-11,9.378396e-11,8.023002e-11,7.122024e-11
368.5,9.331827e-11,1.037437e-10,7.608875e-11,7.695646e-11
369.0,9.701409e-11,8.922758e-11,8.830922e-11,9.539654e-11
369.5,8.916881e-11,1.036439e-10,8.690319e-11,8.807987e-11
370.0,7.425155e-11,9.586722e-11,8.872162e-11,7.256545e-11
370.5,7.779564e-11,9.265496e-11,8.478506e-11,7.603695e-11
371.0,8.134205e-11,8.597376e-11,9.104735e-11,8.165348e-11
371.5,8.425441e-11,8.90596e-11,8.89016e-11,7.397407e-11
372.0,7.868448e-11,8.623118e-11,9.228034e-11,7.067844e-11
372.5,8.745742e-11,9.159903e-11,8.686614e-11,8.853178e-11
373.0,7.639987e-11,9.885383e-11,8.037868e-11,9.106525e-11
373.5,8.09694e-11,1.016841e-10,7.973205e-11,8.660118e-11
374.0,8.462758e-11,9.315051e-11,8.061903e-11,8.19594e-11
374.5,7.736239e-11,7.610793e-11,8.9978e-11,7.164809e-11
375.0,8.520738e-11,7.68705e-11,9.563521e-11,8.060021e-11
375.5,9.282299e-11,8.290182e-11,9.595851e-11,7.358233e-11
376.0,9.55705e-11,9.226857e-11,9.554009e-11,7.379737e-11
376.5,7.656842e-11,8.820632e-11,9.760037e-11,7.168408e-11
377.0,7.912523e-11,8.311637e-11,1.01182e-10,6.987892e-11
377.5,8.420268e-11,7.794895e-11,9.029239e-11,6.798299e-11
378.0,7.526778e-11,6.707825e-11,8.744504e-11,8.207723e-11
378.5,7.710475e-11,6.809117e-11,8.419897e-11,8.729618e-11
379.0,8.181334e-11,7.687576e-11,7.820097e-11,8.016265e-11
379.5,7.328356e-11,7.673375e-11,8.253418e-11,7.642787e-11
380.0,6.582681e-11,7.837672e-11,8.433571e-11,7.447842e-11
380.5,7.765801e-11,8.065412e-11,8.136266e-11,7.976578e-11
381.0,8.948763e-11,7.598314e-11,9.889854e-11,7.073304e-11
381.5,8.077851e-11,6.976451e-11,9.283786e-11,7.364204e-11
382.0,7.409569e-11,7.130956e-11,7.247499e-11,7.644203e-11
382.5,7.590011e-11,8.469497e-11,7.44587e-11,7.753916e-11
383.0,7.907406e-11,8.55643e-11,8.464414e-11,7.369951e-11
383.5,8.174691e-11,7.33197e-11,8.728601e-11,9.125907e-11
384.0,8.667754e-11,7.97265e-11,8.609972e-11,9.052443e-11
384.5,8.155785e-11,8.527228e-11,8.809726e-11,7.321076e-11
385.0,8.00779e-11,9.157273e-11,8.133661e-11,7.317245e-11
385.5,8.189169e-11,7.689441e-11,7.639143e-11,8.151226e-11
386.0,7.98473e-11,7.855173e-11,8.287575e-11,8.318018e-11
386.5,8.597731e-11,8.001787e-11,8.479411e-11,8.093956e-11
387.0,7.457826e-11,8.174972e-11,8.109968e-11,8.646281e-11
