Hz,180N,180m,180s,180NE
44.0,1.659509e-09,1.733405e-09,1.482685e-09,1.652468e-09
44.5,1.554167e-09,1.645898e-09,1.594059e-09,1.520863e-09
45.0,1.393218e-09,1.596207e-09,1.540699e-09,1.464094e-09
45.5,1.458811e-09,1.583006e-09,1.611547e-09,1.30697e-09
46.0,1.547829e-09,1.649236e-09,1.399242e-09,1.357199e-09
46.5,1.495116e-09,1.458848e-09,1.423018e-09,1.189721e-09
47.0,1.579651e-09,1.387198e-09,1.402485e-09,1.407238e-09
47.5,1.59576e-09,1.449709e-09,1.364215e-09,1.288157e-09
48.0,1.440624e-09,1.372061e-09,1.26596e-09,1.180972e-09
48.5,1.391856e-09,1.303166e-09,1.233284e-09,1.066611e-09
49.0,1.254567e-09,1.314636e-09,1.339892e-09,1.079308e-09
49.5,1.360509e-09,1.295519e-09,1.276253e-09,1.188564e-09
50.0,1.30603e-09,1.232709e-09,1.301071e-09,1.23394e-09
50.5,1.178594e-09,1.157275e-09,1.198762e-09,1.168888e-09
51.0,1.275794e-09,1.242122e-09,1.180726e-09,1.133461e-09
51.5,1.140584e-09,1.274162e-09,1.350961e-09,1.29224e-09
52.0,1.00707e-09,1.200643e-09,1.254968e-09,1.236424e-09
52.5,1.090448e-09,1.139079e-09,1.091384e-09,1.170635e-09
53.0,1.222783e-09,1.148963e-09,1.122159e-09,1.118492e-09
53.5,1.113701e-09,1.173258e-09,1.191164e-09,1.040608e-09
54.0,1.146346e-09,1.297301e-09,1.155705e-09,1.077707e-09
54.5,1.110146e-09,1.246271e-09,1.169497e-09,1.109312e-09
55.0,1.221604e-09,1.081322e-09,1.094293e-09,1.106694e-09
55.5,1.199931e-09,1.016058e-09,1.052544e-09,9.57555e-10
56.0,1.010957e-09,1.02316e-09,1.004945e-09,9.978643e-10
56.5,1.106055e-09,1.008108e-09,1.089575e-09,9.935585e-10
57.0,1.14628e-09,9.559217e-10,1.068591e-09,1.074702e-09
57.5,1.055308e-09,1.036281e-09,1.017085e-09,9.688171e-10
58.0,1.104394e-09,1.067533e-09,1.00737e-09,8.919724e-10
58.5,9.531892e-10,1.071242e-09,1.000179e-09,9.78635e-10
59.0,9.983384e-10,1.001906e-09,9.675842e-10,9.569328e-10
59.5,1.830708e-09,1.405886e-09,9.964584e-10,6.193517e-09
60.0,3.073284e-09,2.040817e-09,1.063751e-09,1.209251e-08
60.5,1.686539e-09,1.330266e-09,9.801524e-10,5.93138e-09
61.0,9.702447e-10,9.191461e-10,8.20762e-10,9.937149e-10
61.5,8.724349e-10,1.031571e-09,8.827366e-10,8.563389e-10
62.0,9.228607e-10,1.062751e-09,8.903394e-10,8.606322e-10
62.5,9.695393e-10,9.844293e-10,9.423906e-10,8.52162e-10
63.0,8.826227e-10,9.500514e-10,9.522397e-10,9.256355e-10
63.5,9.01329e-10,1.01089e-09,1.005801e-09,9.096414e-10
64.0,8.868451e-10,8.970805e-10,9.052253e-10,9.50518e-10
64.5,9.353769e-10,8.721107e-10,8.835203e-10,9.837103e-10
65.0,8.149626e-10,9.53068e-10,8.097581e-10,9.557033e-10
65.5,7.556765e-10,8.266376e-10,9.008551e-10,8.179136e-10
66.0,7.480793e-10,7.521068e-10,9.561183e-10,6.689537e-10
66.5,8.421455e-10,7.507539e-10,9.491404e-10,7.241981e-10
67.0,8.027848e-10,8.032918e-10,8.868307e-10,6.947377e-10
67.5,8.076153e-10,7.789918e-10,7.579337e-10,7.826996e-10
68.0,8.275355e-10,8.957005e-10,9.118308e-10,7.377852e-10
68.5,7.921372e-10,9.070307e-10,8.729831e-10,6.264526e-10
69.0,8.30779e-10,9.177729e-10,8.867485e-10,7.014969e-10
69.5,7.355384e-10,8.5633e-10,8.231776e-10,7.13741e-10
70.0,8.058421e-10,7.855576e-10,7.783373e-10,7.479488e-10
70.5,7.88903e-10,7.585376e-10,7.3329e-10,7.788662e-10
71.0,8.617445e-10,7.741097e-10,8.628984e-10,7.259991e-10
71.5,8.554295e-10,7.301341e-10,9.223175e-10,7.493537e-10
72.0,7.28801e-10,7.422469e-10,9.485379e-10,6.660872e-10
72.5,7.656137e-10,7.453426e-10,9.173423e-10,6.741923e-10
73.0,7.954389e-10,7.488978e-10,9.577413e-10,7.179889e-10
73.5,7.537329e-10,6.734636e-10,8.400298e-10,8.3483e-10
74.0,6.887928e-10,7.859397e-10,8.018205e-10,7.702673e-10
74.5,7.56986e-10,8.428601e-10,6.625078e-10,6.838238e-10
75.0,7.401461e-10,7.610901e-10,6.596326e-10,6.710943e-10
75.5,6.976323e-10,7.910563e-10,6.275154e-10,6.941791e-10
76.0,7.231905e-10,7.769183e-10,6.725921e-10,7.008762e-10
76.5,7.101045e-10,7.015342e-10,7.616189e-10,5.844974e-10
77.0,7.725568e-10,6.838986e-10,6.744393e-10,7.128891e-10
77.5,6.775777e-10,7.937421e-10,6.115928e-10,6.950306e-10
78.0,6.404403e-10,6.974087e-10,7.758767e-10,6.400251e-10
78.5,7.288965e-10,5.827668e-10,7.938681e-10,6.430496e-10
79.0,6.751278e-10,6.01913e-10,6.579612e-10,7.619755e-10
79.5,6.963479e-10,6.347095e-10,6.132908e-10,7.393117e-10
80.0,6.378523e-10,6.166866e-10,6.813936e-10,7.4949e-10
80.5,6.313027e-10,6.603127e-10,7.594634e-10,6.225488e-10
81.0,6.859496e-10,6.969099e-10,7.160877e-10,6.114418e-10
81.5,7.587717e-10,6.859046e-10,6.717175e-10,6.82977e-10
82.0,6.839562e-10,7.38286e-10,6.722903e-10,7.764881e-10
82.5,6.277531e-10,6.623788e-10,5.718004e-10,7.07936e-10
83.0,5.640402e-10,6.077937e-10,5.842788e-10,6.818421e-10
83.5,5.187507e-10,6.196839e-10,6.426749e-10,6.537347e-10
84.0,6.677044e-10,6.24272e-10,6.383498e-10,5.580503e-10
84.5,6.323518e-10,5.702257e-10,7.322418e-10,5.933471e-10
85.0,6.039133e-10,6.082589e-10,7.034923e-10,5.170055e-10
85.5,5.767868e-10,6.255017e-10,6.33901e-10,5.187096e-10
86.0,5.020304e-10,6.308317e-10,5.37114e-10,5.783101e-10
86.5,5.021248e-10,5.891282e-10,5.607709e-10,5.932329e-10
87.0,5.236345e-10,6.102099e-10,7.167421e-10,5.96589e-10
87.5,6.007712e-10,5.773017e-10,7.518829e-10,5.644351e-10
88.0,5.823733e-10,6.105656e-10,6.649549e-10,5.368708e-10
88.5,5.86524e-10,6.064219e-10,5.742183e-10,5.046272e-10
89.0,5.909508e-10,5.247317e-10,6.145043e-10,4.950045e-10
89.5,5.631057e-10,5.52118e-10,6.54808e-10,5.682445e-10
90.0,5.474606e-10,6.043239e-10,5.483856e-10,5.344216e-10
90.5,5.073408e-10,5.930281e-10,5.139232e-10,5.767329e-10
91.0,5.499952e-10,5.086361e-10,4.911836e-10,6.040521e-10
91.5,5.200175e-10,5.402884e-10,5.501202e-10,5.783759e-10
92.0,5.792262e-10,5.448321e-10,5.462701e-10,5.443895e-10
92.5,5.204864e-10,5.721994e-10,5.035737e-10,6.012062e-10
93.0,4.58195e-10,5.845534e-10,4.934645e-10,6.153109e-10
93.5,4.954215e-10,5.115894e-10,5.866389e-10,5.470094e-10
94.0,5.451308e-10,5.393916e-10,5.532778e-10,4.905107e-10
94.5,5.359869e-10,5.673862e-10,4.839029e-10,5.232988e-10
95.0,5.134322e-10,5.251716e-10,5.036565e-10,5.089563e-10
95.5,5.213074e-10,5.874566e-10,5.010858e-10,5.669211e-10
96.0,4.854812e-10,6.145757e-10,4.796489e-10,5.341339e-10
96.5,4.812564e-10,4.881073e-10,4.799898e-10,4.898922e-10
97.0,4.640377e-10,5.033293e-10,5.277711e-10,5.269275e-10
97.5,5.191261e-10,4.791465e-10,5.551474e-10,4.995196e-10
98.0,4.797978e-10,3.996654e-10,4.823938e-10,4.711473e-10
98.5,5.140327e-10,4.658111e-10,4.813437e-10,4.26114e-10
99.0,5.455618e-10,4.985507e-10,4.971991e-10,4.190954e-10
99.5,4.901063e-10,5.551017e-10,4.530511e-10,5.05243e-10
100.0,4.61063e-10,5.515486e-10,4.482253e-10,4.562068e-10
100.5,5.294182e-10,5.144357e-10,4.75987e-10,4.5698e-10
101.0,5.243191e-10,5.133295e-10,4.830097e-10,4.980764e-10
101.5,5.586737e-10,4.895608e-10,4.599258e-10,5.159563e-10
102.0,5.223996e-10,4.482872e-10,4.752946e-10,4.975436e-10
102.5,5.256997e-10,3.951886e-10,5.536459e-10,4.478382e-10
103.0,4.553806e-10,4.620407e-10,5.265762e-10,4.036823e-10
103.5,4.816464e-10,5.14897e-10,4.622124e-10,4.088965e-10
104.0,5.031632e-10,4.602969e-10,4.729194e-10,4.175839e-10
104.5,4.246978e-10,4.433746e-10,4.299688e-10,4.339299e-10
105.0,4.393317e-10,5.070124e-10,4.472141e-10,4.483042e-10
105.5,3.982054e-10,5.289825e-10,4.432145e-10,4.237702e-10
106.0,4.291111e-10,5.235848e-10,4.110488e-10,4.233702e-10
106.5,4.704402e-10,5.442955e-10,4.098485e-10,3.7911e-10
